"Movie","Release Date","Distribution","Domestic","Inflation Domestic","International","Inflation International","Worldwide","Inflation Worldwide","Opening Weekend","Inflation Opening Weekend","Budget","Inflation Budget","Run Time","IMDb Score","Meta Score","Tomato Meter","Tomato Audience","Director","Franchise"
"Final Destination 5","8/12/2011","Warner Bros. Pictures","42,587,643","56,550,807","112,423,522","149,283,699","155,011,165","205,834,506","18,031,396","23,943,330","40,000,000","53,114,756","92","5.9","50","63","53","Steven Quale","Final Destination"
"The Conjuring","7/19/2013","Warner Bros. Pictures","137,400,141","177,961,065","179,079,009","231,943,657","316,479,150","409,904,722","41,855,326","54,211,141","20,000,000","25,904,059","112","7.5","68","86","83","James Wan","The Conjuring Universe"
"Annabelle","10/3/2014","Warner Bros. Pictures","84,273,813","108,617,287","172,583,714","222,436,533","256,857,527","331,053,820","37,134,255","47,860,918","6,500,000","8,377,601","99","5.4","47","28","35","John R. Leonetti","The Conjuring Universe"
"The Conjuring 2","6/10/2016","Warner Bros. Pictures","102,470,008","124,740,949","207,726,324","252,873,785","310,196,332","377,614,734","40,406,314","49,188,265","40,000,000","48,693,643","134","7.3","65","80","81","James Wan","The Conjuring Universe"
"Annabelle: Creation","8/11/2017","Warner Bros. Pictures","102,092,201","119,847,363","203,292,664","238,647,903","305,384,865","358,495,266","35,006,404","41,094,473","15,000,000","17,608,695","109","6.5","62","70","68","David F. Sandberg","The Conjuring Universe"
"The Nun","9/7/2018","Warner Bros. Pictures","117,450,119","135,757,383","245,449,918","283,708,853","362,900,037","419,466,236","53,807,379","62,194,479","22,000,000","25,429,199","96","5.3","46","24","35","Corin Hardy","The Conjuring Universe"
"Annabelle Comes Home","6/26/2019","Warner Bros. Pictures","74,152,591","85,243,098","156,626,600","180,052,193","230,779,191","265,295,291","20,269,723","23,301,330","27,000,000","31,038,209","106","5.9","53","64","70","Gary Dauberman","The Conjuring Universe"
"The Conjuring: The Devil Made Me Do It","6/4/2021","Warner Bros. Pictures","65,631,050","66,451,439","134,635,391","136,318,335","200,266,441","202,769,774","24,104,332","24,405,636","40,000,000","40,500,001","112","6.3","53","55","83","Michael Chaves","The Conjuring Universe"
"The Nun II","9/8/2023","Warner Bros. Pictures","86,270,590","86,270,595","181,790,255","181,790,266","268,060,845","268,060,861","32,603,336","32,603,338","38,500,000","38,500,002","110","5.6","47","52","73","Michael Chaves","The Conjuring Universe"
"Insidious","4/1/2011","FilmDistrict","54,009,150","71,717,061","45,861,736","60,898,365","99,870,886","132,615,426","13,271,464","17,622,762","1,500,000","1,991,803","108","6.8","52","67","62","James Wan","Insidious"
"Insidious Chapter 2","9/13/2013","FilmDistrict","83,586,447","108,261,405","78,335,068","101,459,804","161,921,515","209,721,209","40,272,103","52,160,543","5,000,000","6,476,014","106","6.5","40","39","57","James Wan","Insidious"
"Insidious Chapter 3","6/5/2015","Gramercy Pictures, Focus Features","52,218,558","65,226,737","68,234,597","85,232,536","120,453,155","150,459,273","22,692,741","28,345,736","10,000,000","12,491,103","97","6.1","52","57","51","Leigh Whannell","Insidious"
"Insidious: The Last Key","1/5/2018","Universal Pictures","67,745,330","78,304,976","105,066,641","121,443,660","172,811,971","199,748,636","29,581,355","34,192,280","10,000,000","11,558,727","103","5.7","49","33","50","Adam Robitel","Insidious"
"Insidious: The Red Door","7/7/2023","Sony Pictures Entertainment","82,156,962","82,156,966","104,101,966","104,101,971","186,258,928","186,258,937","33,013,036","33,013,038","16,000,000","16,000,001","107","5.5","45","37","70","Patrick Wilson","Insidious"
